NUTS,air passengers,GDP,farm labour force,deaths,hosp discharges resp diseases,stock of vehicles,thousand hours worked,students tertiary ed,health personnel,students enrolled,utilised agricultural area,hospital beds,education and training,crude death rate,longterm care beds,regional GWA,pop density,unemployment rate,pct leavers from education,NEET rate,compensation of employees,life expectancy,covid_severity,Covid_Cases_Density
ITF5,1.1373393497761433,-0.39092046894179205,0.9394658444812934,0.5782590505648462,-0.293333854314616,0.49916110298023364,-0.24177726548592687,-0.9829332854388558,-0.3626504631184656,-0.7268106915130345,0.9344433260876805,-0.7265254765313184,-0.5251567888460262,0.23087189889156495,1.2011023432302481,-0.47300334202920763,-0.371033842169816,0.12221995234448842,-0.24802221468260569,1.4755097301617353,-0.6386325672220573,0.5413811482765072,below_than_avg,0.0008910916143398873
ITF6,-0.42977527752095385,-0.7784768548292658,0.21107503134993516,0.09017760312990154,-0.5839255062539451,0.4720665638961306,-0.5327509977831847,-0.5571858470017951,-0.07991113421711056,-0.5022650959740004,-0.37212341250345127,-0.837682099907154,-0.7825352073047026,-0.11931959565707714,0.1395232312282282,-1.612473461978909,-0.31386067510380145,2.693478764369844,1.0862692413732322,2.397688650683377,-0.8855905962797206,0.45964838064610664,below_than_avg,0.0007264625602525724
ITG1,-0.2729234820477194,-0.740395278835565,-0.17112112401973376,0.13578795867228474,-0.516513030234775,0.4474668741742405,-0.6301018829750606,-0.5579639201103901,0.24639641650607208,-0.38916542683417704,-0.35320200902551985,-0.7442352696506949,-0.9369622583799084,-0.03578959439449141,1.6731959343222333,-1.510431361684907,-0.2608866672008275,2.2015857742432536,1.6610409455203616,2.8671615556762124,-0.8256577510170212,0.2553164615701081,below_than_avg,0.0007942091649932619
ITG2,-0.11163969797819967,-0.50789241957552,0.05297329974907919,0.049016759297075586,-0.37699539020492295,0.4214020622680268,-0.31188743734929936,-0.5036665080849108,0.48473744014004094,-0.7500182440018445,0.5677610219810422,-0.6908291747750755,-0.2677783703873498,-0.171958941780076,0.7903018836361824,-1.5444453951162418,-0.36085895650552524,1.1730822494331121,0.1420014417029469,1.190472609273228,-0.6351332311656646,0.7865794511677031,below_than_avg,0.0009716924760846378
ITH1,-0.5811360804009635,1.19886459594548,-1.0171120865133576,-0.9057994352443706,-0.3927951411131194,1.2767463038586648,0.8190046049841345,-1.1931540383865535,-0.4061177996533539,-0.22381404576873545,-0.9331241026763154,-0.5560133746538232,-0.5251567888460262,-0.8755144846484519,-0.6211715852085642,-0.14987002443153274,-0.3577095871332448,-0.9510011170226164,0.5936077806756918,-0.30178055302542844,0.638906066605174,1.1543769055045028,below_than_avg,0.005314994630559999
ITH2,1.1620902175512513,0.578401072197183,1.7715084505916754,-0.49529048189644587,-0.5482205185499357,2.3518221177820076,0.3138123993741695,-0.18894726625725003,-0.4583895367526196,-0.35244225460956197,0.1322098542286965,-0.5640657962127896,0.10970997668537574,-0.49798058588841937,-0.6672280060516336,-0.5240243921762111,-0.34478909740081215,-0.6156195328453962,-0.6996285536553506,-0.10057787945707038,0.048137108017208004,1.3178424407653038,higher_than_avg,0.009181830682495302
ITH3,-0.2693392071807004,0.27327395209827937,0.7521267756503006,-0.18136501309453104,-0.42999557393070426,0.3493863053968315,0.23362887156039777,-0.5449172098004222,-0.3159264290697856,-0.4082550091229272,-0.2267899955975796,-0.6141236333267768,-0.4393639826931341,-0.16841069085188012,-0.6154680036800105,-0.5750454423232122,-0.18828966551672147,-0.5038256714529894,-0.16591197123301563,0.06709101518322809,-0.03239992216845967,1.072644137874102,below_than_avg,0.0044130791269678445
ITH4,-0.532530047460738,0.1653627176873179,0.5251472569119349,0.6249689270928236,-0.2938961890613224,0.3780134460320322,0.07783037556285584,-0.44107506839853766,-0.008731104177745098,-0.570078608913525,-0.1568449610871459,-0.6200730169528174,-0.25061980915677146,0.5775151425120106,-0.615366154009858,-0.9151857766365556,-0.2868891527873483,-0.5485432160099522,-0.5764631884809657,-0.2011792162412494,-0.019710107843055075,0.9091786026133069,below_than_avg,0.0029356267865788548
ITH5,-0.4001357174145995,0.46296329191665747,0.5532505869677566,0.3595012435573954,-0.1960040353010645,0.36986803874792645,0.27024015968729403,-0.008149074046160472,0.1958231115961996,-0.4412399188825789,0.06357658742100633,-0.4962704944276771,-0.1648270030038793,0.3242117703673975,-0.47397844190382277,-0.4049752751665404,-0.2529728672397125,-0.5261844437314707,-0.4122427015817855,0.16769235196740712,0.10240650046427834,0.9500449864285042,higher_than_avg,0.006860032181041769
ITI1,-0.39922465689051384,0.16601845126327391,0.6476026369914576,0.6067365283440027,-0.33492324046608524,0.5049188050482957,0.12950445672228547,-0.12735726530357608,0.27818531964877524,-0.5507597144234276,-0.06833797649477029,-0.734550226538536,-0.3364126153096636,0.48780701022150746,-0.33723507475675263,-0.847157709773886,-0.28462806708417254,-0.3249554932251386,0.08041875911575426,0.503030141248004,-0.18729121137495675,0.9909113702437016,below_than_avg,0.002974092464431809
