NUTS,air passengers per100k,GDP per100k,farm labour force per100k,deaths per100k,hosp discharges resp diseases per100k,stock of vehicles per100k,thousand hours worked per100k,students tertiary ed per100k,health personnel per100k,students enrolled per100k,utilised agricultural area per100k,hospital beds,longterm care beds,crude death rate,pop density,NEET rate,unemployment rate,compensation of employees per100k,pct leavers from education,education and training,life expectancy,regional GWA,covid_severity,covid_density_by100k,Covid_Cases
ITF1,54.02101023153297,2560.4683675685365,2088.9669621721546,1129.263235340715,1071.378061287184,79225.55974345043,69954.75836997204,3807.3606138146947,424.90345386690734,4435.287234889381,32780.474534773995,293.07,518.55,1111.32,120.5,15.5,9.3,997.0315493519412,8.0,6.9,83.7,100.6,higher_than_avg,3633.009542166142,47009
ITF2,3769.653450966299,2159.475701792916,3923.252006548736,1218.9034860040729,678.1668862889164,84829.75948036044,65216.46102037828,2797.5215961878903,405.96840101691754,4193.786686898535,57966.96348946478,300.18,1611.79,1177.64,68.2,25.5,9.5,815.8301055517842,8.6,7.1,83.6,103.5,below_than_avg,3161.2293521809156,9500
ITF3,189.66612005336702,1919.256398167903,1168.0379850434417,942.9035652643851,846.9675916726875,69296.6370064615,56427.22704946287,3979.5572344739967,384.8117948027562,5103.478676916877,8910.84134273249,252.21,2006.23,924.17,422.2,28.0,17.9,756.7772725577772,17.3,5.3,82.1,101.7,higher_than_avg,4306.649886041018,246002
ITF4,209.79914274259133,1959.7607571386475,2423.288868427809,990.0576859109025,949.8128780855512,68240.26985016334,62016.11057077559,2305.159859914679,379.4799541143423,4668.321821868032,29963.283885255503,283.3,470.68,960.47,206.8,22.7,14.0,795.8075584858746,15.6,5.5,83.7,103.1,higher_than_avg,3408.945173721734,134766
ITF5,2047.59690209305,2365.974760236709,4122.880268375828,1176.313230451113,1237.2255781250565,79523.14849960415,66420.08914531118,1404.77972142994,339.0847603451579,4181.6236303759215,87596.29392647863,288.35,1027.07,1091.16,55.7,21.0,8.6,874.733847382938,10.1,7.1,83.0,105.9,below_than_avg,2582.177444717978,14286
ITF6,186.6839835067657,1774.9449609579171,2588.0228708997893,1064.4577136491544,739.7141665478774,78563.65258617504,56888.39613327632,2449.435354863234,383.1878824355502,4642.655389602505,26313.149711473994,248.18,505.92,1007.27,126.5,26.5,20.1,686.8502885260096,16.6,5.6,82.8,99.2,below_than_avg,1849.892561678044,35039
ITG1,372.94191730132974,1833.019984452207,1782.6631851643695,1074.9104155855343,855.1286179899042,77692.50649704941,53699.38403664193,2447.526198441529,434.0869979016633,4874.868982152857,27200.63832100244,281.95,1258.83,1027.28,192.1,29.3,17.9,732.4466852228278,19.4,4.7,82.3,99.8,below_than_avg,2968.1106149582897,144704
ITG2,564.4627365863314,2187.590630799673,2254.8725786025375,1055.0247235547315,1093.9917015228766,76769.47619818803,64123.426041234256,2580.755649125942,471.26464596825184,4133.974426989968,70397.44456047668,301.25,825.4,994.66,68.3,19.3,13.3,877.396112361405,12.0,8.6,83.6,99.6,below_than_avg,2425.3841318771597,39088
ITH1,6.946478323232779,4790.422871561494,0.0,836.2057959913188,1066.9415219170778,107059.68714563573,101169.09230180006,888.9614827164111,332.3045035708654,5214.364566201816,0.0,349.97,132.48,826.12,72.2,10.4,3.8,1846.6743265670882,14.2,7.1,84.5,107.8,higher_than_avg,9095.193037000323,48445
ITH2,2076.9879937124047,3844.205894485951,5876.151624879681,930.2837237017004,800.8433790163633,145131.2279415135,84620.04858596508,3352.9816198377407,324.1508915066233,4950.268139524224,49968.37328688637,347.06,109.87,916.56,88.2,11.6,5.3,1397.2223495439337,7.9,10.8,84.9,105.6,higher_than_avg,4897.281936104872,26711
ITH3,377.1981620505118,3378.882067777205,3728.121369103896,1002.2272399625098,1003.2520121915103,74219.1901716965,81993.40333620748,2479.5388852896613,346.3730134021761,4835.6746987630795,33129.86139135785,328.97,135.28,995.51,282.0,12.6,5.8,1335.9504649699036,10.5,7.6,84.3,105.3,higher_than_avg,6235.841490691071,304255
ITH4,64.6650351180883,3214.315678120668,3249.832534139822,1187.0179138728056,1236.262825231965,75232.95993420748,76889.76932821318,2734.3361388010107,394.2909064379846,4503.4222726277885,36410.559966042565,326.82,135.33,1174.2,159.9,11.0,5.6,1345.604767305358,8.5,8.7,83.9,103.3,higher_than_avg,5814.215696027909,70132
ITH5,221.88028589739656,3668.1613998193147,3309.05157322195,1126.1796560530756,1403.8604257637396,74944.50752768911,83192.71282866788,3796.605780446265,426.1983159499108,4767.950854356704,46749.2018021921,371.56,204.74,1113.52,201.9,13.2,5.7,1438.5100397189233,9.3,9.2,84.0,106.3,higher_than_avg,4783.564237422883,213544
ITI1,222.96214951436065,3215.3156825016827,3507.869212510037,1182.8395243943557,1166.0219008247677,79727.04536560728,78582.50452599894,3504.104881308471,439.04559309204603,4543.087374460231,40561.887365252514,285.45,271.87,1152.71,162.7,15.2,6.6,1218.1104953074498,11.7,8.2,84.1,103.7,higher_than_avg,3706.620483648856,136869
ITI2,25.052719886458316,2673.869898237691,4411.806956151994,1179.4314871317508,1162.5381393184052,83756.06925123397,73254.40577361763,3115.845845328185,442.674665149713,4475.587963202382,73480.31695138279,302.88,282.41,1130.5,105.5,14.9,8.2,1039.1477478409267,11.2,8.1,84.5,103.4,higher_than_avg,4728.068814535174,41142
